iter	Logloss
0	0.5826793989
1	0.5168591373
2	0.4746819054
3	0.4493983371
4	0.4343280634
5	0.4227409682
6	0.4159472613
7	0.411476311
8	0.4079667894
9	0.4055380601
10	0.4041442233
11	0.4030703981
12	0.4021068382
13	0.4015509989
14	0.4008193195
15	0.4003593541
16	0.4001184449
17	0.3998076435
18	0.3995837549
19	0.3993972137
20	0.3992656365
21	0.3991270217
22	0.3990386736
23	0.3989621942
24	0.3989125015
25	0.3988638795
26	0.3988079274
27	0.3987527453
28	0.3987217802
29	0.3986720536
30	0.3986170565
31	0.3985964334
32	0.398551403
33	0.3985528135
34	0.398518702
35	0.3984986182
36	0.3984473884
37	0.3984493364
38	0.3984311589
39	0.3984048208
40	0.3983666218
41	0.3983632898
42	0.3983682209
43	0.3983652567
44	0.3983506878
45	0.3983465069
46	0.3983338966
47	0.3983182328
48	0.3983144177
49	0.3983203501
50	0.3983188249
51	0.3983201264
52	0.3983162251
53	0.3983095612
54	0.3982909129
55	0.3982591515
56	0.3982422489
57	0.3982432008
58	0.3982527144
59	0.3982611511
60	0.3982438889
61	0.3982635319
62	0.3982572707
63	0.3982654278
64	0.3982618146
65	0.3982665317
66	0.3982599484
67	0.3982225751
68	0.398231418
69	0.3982227793
70	0.398222919
71	0.3982448795
72	0.3982165403
73	0.398193382
74	0.39819982
75	0.3982005097
76	0.3982103009
77	0.3982060728
78	0.3982062681
79	0.3982041959
80	0.3982049433
81	0.3982055255
82	0.3982037365
83	0.3982045421
84	0.3981983532
85	0.3981832772
86	0.3981796056
87	0.3981762924
88	0.3981758011
89	0.3981734217
90	0.3981705437
91	0.3981698868
92	0.3981650508
93	0.3981640353
94	0.3981620773
95	0.3981602762
96	0.3981610211
97	0.398164895
98	0.398164895
99	0.398149134
100	0.3981486425
101	0.3981515482
102	0.3981418963
103	0.3981444139
104	0.3981598391
105	0.3981432252
106	0.3981478746
107	0.3981441581
108	0.3981409583
109	0.3981333585
110	0.3981335075
111	0.3981331653
112	0.3981163664
113	0.3980970391
114	0.3980971551
115	0.3980924892
116	0.3980988663
